id,lat,long,latsta,longsta,magnitudo,kategori_magnitudo, kedalaman,kategori_kedalaman,PGA,kategori_PGA, jarakhipo,kategori_jarakhipo,MMI,efek_gempa
1,2.82,127.4,1.823,127.78,5,Kuat,10,Sangat Dangkal,0.8768,Kecil,118.854,Intermediet,2,Tidak Ada atau Jarang Kerusakan
2,2.82,127.4,1.443,125.179,5,Kuat,10,Sangat Dangkal,3.41213,Kecil,290.241,Intermediet,3,Tidak Ada atau Jarang Kerusakan
3,1.39,99.33,1.39876,99.43094,3.4,Sedang,10,Sangat Dangkal,30.8741,Medium,15.049,Sangat Dangkal,5,Barang-Barang Bergerak dan Tidak Ada Kerusakan
4,-8.88,108.72,-7.784,108.449,5.1,Kuat,10,Sangat Dangkal,0.65543,Kecil,125.718,Intermediet,2,Tidak Ada atau Jarang Kerusakan
5,-8.19,108.3,-7.326,108.223,4.2,Sedang,31,Dangkal,2.43372,Kecil,101.152,Intermediet,2,Tidak Ada atau Jarang Kerusakan
6,1.64,99.19,1.1648,97.7038,3.2,Sedang,10,Sangat Dangkal,0.42394,Kecil,173.484,Intermediet,2,Tidak Ada atau Jarang Kerusakan
7,-2.83,101.53,-2.44736,101.2396,4.9,Sedang,87,Menengah,12.497,Medium,102.039,Intermediet,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
8,1.38,98.04,1.1648,97.7038,5.4,Kuat,41,Dangkal,29.8482,Medium,60.368,Dangkal,5,Barang-Barang Bergerak dan Tidak Ada Kerusakan
9,1.38,98.04,2.0256,98.9594,5.4,Kuat,41,Dangkal,15.8872,Medium,131.268,Intermediet,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
10,1.44,98.05,4.26685,96.40398,4.6,Sedang,25,Dangkal,0.09074,Kecil,363.958,Dalam,1,Tidak Ada atau Jarang Kerusakan
11,-6.98,113.58,-7.7349,111.7669,3.3,Sedang,14,Dangkal,0.012004,Kecil,218.451,Intermediet,1,Tidak Ada atau Jarang Kerusakan
12,-9.58,120.16,-9.669,120.2976,5.7,Kuat,77,Menengah,40.91085,Medium,79.119,Dangkal,5,Barang-Barang Bergerak dan Tidak Ada Kerusakan
13,-9.58,120.16,-9.6694,120.2998,5.7,Kuat,77,Menengah,70.76833,Besar,79.172,Dangkal,6,"Kerusakan Kecil, Retak pada Dinding"
14,-3.18,135.65,-3.3656,135.4972,4.8,Sedang,9,Sangat Dangkal,11.29561,Medium,28.162,Sangat Dangkal,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
15,-1.69,100.31,-0.91176,100.46172,5.5,Kuat,17,Dangkal,83.07635,Besar,89.638,Dangkal,6,"Kerusakan Kecil, Retak pada Dinding"
16,4.44,122.7,0.63,122.85,7.3,Kuat,618,Dalam,5.491446,Kecil,749.035,Sangat Dalam,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
17,-3.48,128.42,-3.31836,128.39473,3,Sedang,10,Sangat Dangkal,5.440966,Kecil,20.731,Sangat Dangkal,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
18,5.36,94.66,5.496,95.296,5.4,Kuat,89,Menengah,11.09694,Medium,114.598,Intermediet,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
19,5.33,96.56,5.4038,95.4645,2.6,Lemah,43,Dangkal,0.022266,Kecil,129.239,Intermediet,1,Tidak Ada atau Jarang Kerusakan
20,-9.34,115.61,-8.7498,115.1769,4.3,Sedang,104,Menengah,1.680226,Kecil,131.981,Intermediet,2,Tidak Ada atau Jarang Kerusakan
21,3.33,98.46,3.5395,98.674,5.6,Kuat,10,Sangat Dangkal,73.22529,Besar,34.713,Sangat Dangkal,6,"Kerusakan Kecil, Retak pada Dinding"
22,3.25,98.4,3.5395,98.674,2.8,Lemah,10,Sangat Dangkal,0.273964,Kecil,45.361,Sangat Dangkal,1,Tidak Ada atau Jarang Kerusakan
23,-7.14,105.31,-6.6135,105.6928,5.2,Kuat,10,Sangat Dangkal,16.55667,Medium,72.944,Dangkal,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
24,-8.27,119.79,-8.4866,119.8867,4.9,Sedang,160,Menengah,5.68823,Kecil,162.152,Intermediet,3,Tidak Ada atau Jarang Kerusakan
25,2.82,128.12,1.5013,124.9178,5.6,Kuat,10,Sangat Dangkal,7.81973,Kecil,384.534,Dalam,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
26,-8.5,105.87,-7.309,107.13,5.1,Kuat,10,Sangat Dangkal,0.202463,Kecil,192.712,Intermediet,1,Tidak Ada atau Jarang Kerusakan
27,-1.44,99.77,-0.91176,100.46172,4.2,Sedang,12,Dangkal,1.61859,Kecil,97.352,Dangkal,2,Tidak Ada atau Jarang Kerusakan
28,-5.77,133.68,-4.5299,136.8929,5.3,Kuat,76,Menengah,0.647079,Kecil,389.757,Dalam,2,Tidak Ada atau Jarang Kerusakan
29,-7.97,107.01,-7.309,107.13,4.9,Sedang,14,Dangkal,3.406165,Kecil,75.873,Dangkal,3,Tidak Ada atau Jarang Kerusakan
30,-9.45,116.39,-8.635,116.1705,4.1,Sedang,36,Dangkal,2.121391,Kecil,100.367,Intermediet,2,Tidak Ada atau Jarang Kerusakan
31,3.26,98.43,3.50118,98.56457,3.9,Sedang,10,Sangat Dangkal,2.247411,Kecil,32.246,Sangat Dangkal,2,Tidak Ada atau Jarang Kerusakan
32,-7.11,125.44,-8.27,123,5.4,Kuat,509,Dalam,0.253893,Kecil,590.774,Dalam,1,Tidak Ada atau Jarang Kerusakan
33,-0.65,131.47,-0.4102,130.8211,4.7,Sedang,10,Sangat Dangkal,0.917585,Kecil,77.437,Dangkal,2,Tidak Ada atau Jarang Kerusakan
34,-5.87,102.39,-5.3526,102.2767,5.3,Kuat,23,Dangkal,7.929863,Kecil,63.131,Dangkal,3,Tidak Ada atau Jarang Kerusakan
35,-0.79,131.19,-0.4102,130.8211,3.5,Sedang,13,Dangkal,0.133454,Kecil,60.191,Dangkal,1,Tidak Ada atau Jarang Kerusakan
36,-0.79,131.19,-0.4102,130.8211,3.3,Sedang,12,Dangkal,0.070837,Kecil,71.567,Dangkal,1,Tidak Ada atau Jarang Kerusakan
37,-8.52,113.11,-8.2732,113.444,4.9,Sedang,126,Menengah,2.158102,Kecil,134.168,Intermediet,2,Tidak Ada atau Jarang Kerusakan
38,-7.64,106.9,-7.309,107.13,5.2,Kuat,25,Dangkal,17.69199,Medium,51.251,Dangkal,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
39,-4.64,139.24,-2.57,140.51,4.7,Sedang,132,Menengah,0.080265,Kecil,300.151,Dalam,1,Tidak Ada atau Jarang Kerusakan
40,-2.39,140.78,-2.51,140.7,5.2,Kuat,10,Sangat Dangkal,9.001041,Kecil,18.875,Sangat Dangkal,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
41,3.34,98.5,3.50118,98.56457,4.5,Sedang,10,Sangat Dangkal,7.406908,Kecil,21.713,Sangat Dangkal,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
42,-2.5,99.51,-2.766,100.01,4.1,Sedang,135,Menengah,0.285233,Kecil,66.28,Dangkal,1,Tidak Ada atau Jarang Kerusakan
43,-9.73,115.62,-8.7498,115.1769,5.2,Kuat,10,Sangat Dangkal,23.89518,Medium,119.821,Intermediet,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
44,-1.89,139.29,-2.57,140.51,5.6,Kuat,14,Dangkal,1.876128,Kecil,155.666,Intermediet,2,Tidak Ada atau Jarang Kerusakan
45,-8.44,117.68,-8.4879,117.4135,5.2,Kuat,207,Menengah,2.099006,Kecil,209.171,Intermediet,2,Tidak Ada atau Jarang Kerusakan
46,3.34,98.5,3.50118,98.56457,2.8,Lemah,17,Dangkal,0.093088,Kecil,21.713,Sangat Dangkal,1,Tidak Ada atau Jarang Kerusakan
47,-7.64,106.9,-7.309,107.13,5.1,Kuat,19,Dangkal,17.58478,Medium,51.251,Dangkal,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
48,-4.38,138.27,-2.57,140.68,3.8,Sedang,106,Menengah,0.073775,Kecil,350.945,Dalam,1,Tidak Ada atau Jarang Kerusakan
49,-9.12,116.62,-8.7382,116.8821,4.5,Sedang,10,Sangat Dangkal,10.16603,Medium,52.368,Dangkal,3,Tidak Ada atau Jarang Kerusakan
50,-7.2,113.09,-7.2834,112.7943,3.7,Sedang,10,Sangat Dangkal,0.326917,Kecil,35.539,Sangat Dangkal,1,Tidak Ada atau Jarang Kerusakan
51,-4.67,121.94,-4.1718,121.6513,3.3,Sedang,10,Sangat Dangkal,0.498221,Kecil,64.692,Dangkal,2,Tidak Ada atau Jarang Kerusakan
52,-5.14,96.22,4.61711,96.8189,4.5,Sedang,10,Sangat Dangkal,1.770285,Kecil,88.815,Dangkal,2,Tidak Ada atau Jarang Kerusakan
53,1.31,122.45,0.9885,122.3654,4.9,Sedang,7,Sangat Dangkal,4.240019,Kecil,37.559,Sangat Dangkal,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
54,1.44,126.62,0.7719,127.3667,4.6,Sedang,15,Dangkal,0.656323,Kecil,112.224,Intermediet,2,Tidak Ada atau Jarang Kerusakan
55,-6.46,130.12,-4.52223,129.90441,5.4,Kuat,155,Menengah,0.630677,Kecil,266.2,Intermediet,2,Tidak Ada atau Jarang Kerusakan
56,-0.74,131.15,-0.4102,130.8211,3.9,Sedang,12,Dangkal,0.143349,Kecil,53.075,Dangkal,1,Tidak Ada atau Jarang Kerusakan
57,1.44,126.62,0.7719,127.3667,4,Sedang,23,Dangkal,0.685493,Kecil,112.224,Intermediet,2,Tidak Ada atau Jarang Kerusakan
58,-2.83,101.53,-2.44736,101.2396,4.1,Sedang,41,Dangkal,11.50312,Medium,102.039,Intermediet,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
59,-0.81,121.42,-1.0411,122.771,3.9,Sedang,10,Sangat Dangkal,0.286818,Kecil,152.467,Intermediet,1,Tidak Ada atau Jarang Kerusakan
60,5.75,93.99,5.496,95.296,4.5,Sedang,10,Sangat Dangkal,2.174168,Kecil,148.02,Intermediet,2,Tidak Ada atau Jarang Kerusakan
61,-0.81,121.42,-1.0411,122.771,4.7,Sedang,12,Dangkal,2.043656,Kecil,152.467,Intermediet,2,Tidak Ada atau Jarang Kerusakan
62,-1.89,139.29,-2.57,140.51,4.8,Sedang,12,Dangkal,0.381482,Kecil,155.666,Intermediet,1,Tidak Ada atau Jarang Kerusakan
63,-0.96,119.88,-0.9053,119.8368,2.9,Lemah,6,Sangat Dangkal,2.4397,Kecil,9.791,Sangat Dangkal,2,Tidak Ada atau Jarang Kerusakan
64,-7.25,106.05,-6.3615,106.2511,3.8,Sedang,30,Dangkal,0.424904,Kecil,105.475,Intermediet,1,Tidak Ada atau Jarang Kerusakan
65,-11.61,114.55,-8.738,115.179,5.4,Kuat,10,Sangat Dangkal,1.791136,Kecil,326.501,Dalam,2,Tidak Ada atau Jarang Kerusakan
66,3.34,98.5,3.50118,98.56457,4.8,Sedang,5,Sangat Dangkal,0.360963,Kecil,21.713,Sangat Dangkal,1,Tidak Ada atau Jarang Kerusakan
67,5.22,96.16,5.4038,95.4645,3.8,Sedang,10,Sangat Dangkal,1.791136,Kecil,80.475,Dangkal,2,Tidak Ada atau Jarang Kerusakan
68,-3.48,128.42,-3.31836,128.39473,5,Kuat,144,Menengah,0.01872,Kecil,20.731,Sangat Dangkal,1,Tidak Ada atau Jarang Kerusakan
69,-6.23,104.32,-5.52361,104.49596,5.3,Kuat,11,Dangkal,2.404168,Kecil,81.551,Dangkal,2,Tidak Ada atau Jarang Kerusakan
70,-9.73,115.62,-8.7498,115.1769,6.4,Kuat,117,Menengah,62.17794,Besar,119.821,Intermediet,5,Barang-Barang Bergerak dan Tidak Ada Kerusakan
71,-6.46,130.12,-4.52223,129.90441,5.2,Kuat,171,Menengah,0.196121,Kecil,266.2,Intermediet,1,Tidak Ada atau Jarang Kerusakan
72,-2.94,136.92,-1.87552,136.23996,5.5,Kuat,90,Menengah,4.539547,Kecil,166.61,Intermediet,3,Tidak Ada atau Jarang Kerusakan
73,-5.05,133.36,-2.919,132.265,4.5,Sedang,36,Dangkal,0.030944,Kecil,268.367,Intermediet,1,Tidak Ada atau Jarang Kerusakan
74,-8.05,107.91,-7.784,108.449,4.4,Sedang,20,Dangkal,2.005149,Kecil,69.651,Dangkal,2,Tidak Ada atau Jarang Kerusakan
75,0.54,98.38,-0.0547,98.28,5,Kuat,50,Dangkal,1.224955,Kecil,83.551,Dangkal,2,Tidak Ada atau Jarang Kerusakan
76,2.76,126.1,3.686,125.5286,5.4,Kuat,115,Menengah,11.92994,Medium,166.772,Intermediet,3,Tidak Ada atau Jarang Kerusakan
77,-4.34,102.41,-3.865,102.312,4.9,Sedang,34,Dangkal,11.02789,Medium,63.673,Dangkal,3,Tidak Ada atau Jarang Kerusakan
78,0.31,120.59,0.3374,119.898,5.6,Kuat,71,Menengah,22.06087,Medium,104.644,Intermediet,3,Tidak Ada atau Jarang Kerusakan
79,-4.07,134.13,-3.3656,135.4972,4.7,Sedang,125,Menengah,0.08323,Kecil,211.588,Intermediet,1,Tidak Ada atau Jarang Kerusakan
80,-2.83,101.53,-2.44736,101.2396,5.4,Kuat,59,Dangkal,14.5337,Medium,97.515,Dangkal,3,Tidak Ada atau Jarang Kerusakan
81,2.82,127.4,1.823,127.78,3.9,Sedang,8,Sangat Dangkal,9.28441,Kecil,19.963,Sangat Dangkal,2,Tidak Ada atau Jarang Kerusakan
82,-3.49,102.51,-3.7611,102.2714,3.2,Sedang,10,Sangat Dangkal,0.38513,Kecil,41.315,Sangat Dangkal,1,Tidak Ada atau Jarang Kerusakan
83,-1.89,139.29,-2.57,140.51,3.7,Sedang,14,Dangkal,14.5021,Medium,48.448,Sangat Dangkal,3,Tidak Ada atau Jarang Kerusakan
84,-9.73,115.62,-8.7498,115.1769,4.4,Sedang,76,Menengah,4.5616,Kecil,100.951,Intermediet,3,Tidak Ada atau Jarang Kerusakan
85,-9.73,115.62,-8.7498,115.1769,4.7,Sedang,72,Menengah,4.8687,Kecil,107.706,Intermediet,3,Tidak Ada atau Jarang Kerusakan
86,-8.1,112.59,-8.1521,112.4506,3.7,Sedang,5,Sangat Dangkal,15.8727,Medium,17.259,Sangat Dangkal,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
87,-3.65,128.17,-3.68711,128.19429,3.2,Sedang,7,Sangat Dangkal,7.06286,Kecil,8.558,Sangat Dangkal,3,Tidak Ada atau Jarang Kerusakan
88,5.66,127.23,4.0079,126.67,5.8,Kuat,71,Menengah,0.57782,Kecil,206.238,Intermediet,1,Tidak Ada atau Jarang Kerusakan
89,5.66,127.23,4.0079,126.67,5.3,Kuat,66,Menengah,0.2632,Kecil,226.325,Intermediet,1,Tidak Ada atau Jarang Kerusakan
90,-1.44,99.77,-0.91176,100.46172,3.7,Sedang,34,Dangkal,4.34419,Kecil,81.723,Dangkal,3,Tidak Ada atau Jarang Kerusakan
91,-0.81,131.04,-0.8628,131.25919,4.1,Sedang,2,Sangat Dangkal,2.44051,Kecil,25.106,Sangat Dangkal,2,Tidak Ada atau Jarang Kerusakan
92,5.66,127.23,4.0079,126.67,5.2,Kuat,11,Dangkal,0.08613,Kecil,195.695,Intermediet,1,Tidak Ada atau Jarang Kerusakan
93,-6.46,130.12,-4.52223,129.90441,5.2,Kuat,138,Menengah,0.5052,Kecil,298.385,Intermediet,1,Tidak Ada atau Jarang Kerusakan
94,5.66,127.23,4.0079,126.67,5,Kuat,109,Menengah,0.11844,Kecil,231.573,Intermediet,1,Tidak Ada atau Jarang Kerusakan
95,2.76,126.1,3.686,125.5286,5.4,Kuat,182,Menengah,1.85111,Kecil,335.577,Dalam,2,Tidak Ada atau Jarang Kerusakan
96,2.76,126.1,3.686,125.5286,5,Kuat,86,Menengah,1.86195,Kecil,293.192,Intermediet,2,Tidak Ada atau Jarang Kerusakan
97,5.53,127.2,1.443,125.179,5.2,Kuat,97,Menengah,2.03407,Kecil,515.304,Dalam,2,Tidak Ada atau Jarang Kerusakan
98,-8.82,118.93,-8.5427,118.692996,4.7,Sedang,100,Menengah,6.21648,Kecil,107.887,Intermediet,3,Tidak Ada atau Jarang Kerusakan
99,1.56,128.27,-0.6379,127.5008,4.5,Sedang,59,Dangkal,0.012559,Kecil,265.124,Intermediet,1,Tidak Ada atau Jarang Kerusakan
100,-1.47,134.16,-1.5107,134.1773,3.6,Sedang,16,Dangkal,10.3749,Medium,16.736,Sangat Dangkal,3,Tidak Ada atau Jarang Kerusakan
101,-1.09,119.84,-0.9159,119.9052,4.7,Sedang,19,Dangkal,240.799,Sangat Besar,28.051,Sangat Dangkal,3,Tidak Ada atau Jarang Kerusakan
102,-2.12,99.55,-0.9967,100.3709,5.3,Kuat,20,Dangkal,5.91785,Kecil,155.723,Intermediet,3,Tidak Ada atau Jarang Kerusakan
103,-8.82,118.93,-8.5427,118.692996,4.5,Sedang,113,Menengah,3.12908,Kecil,115.705,Intermediet,3,Tidak Ada atau Jarang Kerusakan
104,-1.09,119.84,-0.9159,119.9052,3.2,Sedang,8,Sangat Dangkal,33.1551,Medium,25.082,Sangat Dangkal,3,Tidak Ada atau Jarang Kerusakan
105,-8.1,107.86,-7.215,107.902,5.4,Kuat,13,Dangkal,40.0489,Medium,99.201,Dangkal,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
106,5.53,127.2,1.443,125.179,5.3,Kuat,17,Dangkal,5.47351,Kecil,172.479,Intermediet,3,Tidak Ada atau Jarang Kerusakan
107,2.82,127.4,1.823,127.78,5,Kuat,58,Dangkal,0.54424,Kecil,80.603,Dangkal,1,Tidak Ada atau Jarang Kerusakan
108,-8.83,112.49,-8.1521,112.4506,4.7,Sedang,29,Dangkal,3.5753,Kecil,80.76,Dangkal,3,Tidak Ada atau Jarang Kerusakan
109,2.76,126.1,3.686,125.5286,7.1,Kuat,10,Sangat Dangkal,50.1241,Besar,204.651,Intermediet,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
110,5.45,125.14,1.5013,124.9178,7.3,Kuat,43,Dangkal,27.2434,Medium,440.504,Dalam,3,Tidak Ada atau Jarang Kerusakan
111,0.77,99.56,0.7955,99.57963,5.1,Kuat,10,Sangat Dangkal,52.314,Besar,10.619,Sangat Dangkal,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
112,-9.73,114.93,-8.6774,115.2097,4.7,Sedang,29,Dangkal,3.86102,Kecil,124.323,Intermediet,3,Tidak Ada atau Jarang Kerusakan
113,0.78,98.47,1.1648,97.7038,47,Sangat Kuat,47,Dangkal,2.37624,Kecil,106.144,Intermediet,2,Tidak Ada atau Jarang Kerusakan
114,-2.12,99.55,-0.9967,100.3709,3.8,Sedang,33,Dangkal,1.398535,Kecil,68.8,Dangkal,2,Tidak Ada atau Jarang Kerusakan
